"Source:","D:\downloads\MpptDemoBoard-backups\MpptDemoBoard-2023-02-01_190113\MpptDemoBoard-backups\MpptDemoBoard-2023-02-01_190546\Prot_Circ\Prot_Circ.kicad_sch"
"Date:","18-02-2023 12:29:08"
"Tool:","Eeschema (6.99.0-5210-g1b15854da5)"
"Generator:","C:\Program Files\KiCad\6.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","100nF","C1005X7R1C104K050BC:C1005X7R1C104K050BC","fp:C1005_Commercial","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","0402 X7R ceramic capacitor 16V 100nF TDK C1005 C 100nF Ceramic Multilayer Capacitor, 16 V dc, +125C, X7R Dielectric, +/-10% SMD","0.55","TDK","C1005X7R1C104K050BC","810-C1005X7R1C104K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X7R1C104K050BC?qs=NRhsANhppD%252BhAGOapA8QKQ%3D%3D"
"","","C2","100pF","C0402C101K3RACAUTO:C0402C101K3RACAUTO","fp:CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1091_C0G_ESD.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 100pF X8R 0402 5% AEC-Q200","0.55","KEMET","C0402C101K3RACAUTO","80-C0402C101K3RAUTO","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C101K3RACAUTO?qs=DuoOggApuK%2FQ6tIpLsntww%3D%3D"
"","","C3","10uF","0805YC106KAT2A:0805YC106KAT2A","fp:CAPC2012X94N","https://www.mouser.fr/datasheet/2/40/AVX_X7RDielectric_777024-1853642.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 0805 10%","0.94","KYOCERA","0805YC106KAT2A","581-0805YC106KAT2A","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/0805YC106KAT2A?qs=3HJ2avRr9PKwMzeRMZhF2g%3D%3D"
"","","C4","1uF","C2220X105K2RACAUTO:C2220X105K2RACAUTO","fp:C2220_FT","https://content.kemet.com/datasheets/KEM_C1078_X7R_FT-CAP_AUTO_SMD.pdf","SMD Auto X7R Flex, Ceramic, 1 uF, 10%, 200 VDC, 500 VDC, 125C, -55C, X7R, SMD, MLCC, FT-CAP, Automotive Grade, 2.5 % , 1 GOhms, 230 mg, 2220, 5.9mm, 5mm, 1.5mm, 0.7mm, 1000, 78  Weeks, 80","","KEMET","C2220X105K2RACAUTO","80-C2220X105K2RAUTO","https://www.mouser.co.uk/ProductDetail/KEMET/C2220X105K2RACAUTO?qs=1mbolxNpo8fmZ3mUaC%2FFGQ%3D%3D"
"","","F1","TPS25961DRVR","TPS25961DRVR:TPS25961DRVR","fp:SON65P200X200X80-7N","https://www.ti.com/lit/ds/symlink/tps25961.pdf","Hot Swap Voltage Controllers 2.7-V to 19-V 100-mO eFuse with overvoltage, overcurrent and short-circuit protection","0.8","Texas Instruments","TPS25961DRVR","595-TPS25961DRVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS25961DRVR?qs=rQFj71Wb1eWBtbDOIdq5wQ%3D%3D"
"","","J1","3.3V","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","","","","","",""
"","","J2","3.3V","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","","","","","",""
"","","R1","2M","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"","","R2","23.2k","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"","","R3","2M","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"","","R4","787k","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"","","R5","1.21M","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"","","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","100nF","C1005X7R1C104K050BC:C1005X7R1C104K050BC","fp:C1005_Commercial","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","0402 X7R ceramic capacitor 16V 100nF TDK C1005 C 100nF Ceramic Multilayer Capacitor, 16 V dc, +125C, X7R Dielectric, +/-10% SMD","0.55","TDK","C1005X7R1C104K050BC","810-C1005X7R1C104K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X7R1C104K050BC?qs=NRhsANhppD%252BhAGOapA8QKQ%3D%3D"
"2","1","C2","100pF","C0402C101K3RACAUTO:C0402C101K3RACAUTO","fp:CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1091_C0G_ESD.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 100pF X8R 0402 5% AEC-Q200","0.55","KEMET","C0402C101K3RACAUTO","80-C0402C101K3RAUTO","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C101K3RACAUTO?qs=DuoOggApuK%2FQ6tIpLsntww%3D%3D"
"3","1","C3","10uF","0805YC106KAT2A:0805YC106KAT2A","fp:CAPC2012X94N","https://www.mouser.fr/datasheet/2/40/AVX_X7RDielectric_777024-1853642.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 0805 10%","0.94","KYOCERA","0805YC106KAT2A","581-0805YC106KAT2A","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/0805YC106KAT2A?qs=3HJ2avRr9PKwMzeRMZhF2g%3D%3D"
"4","1","C4","1uF","C2220X105K2RACAUTO:C2220X105K2RACAUTO","fp:C2220_FT","https://content.kemet.com/datasheets/KEM_C1078_X7R_FT-CAP_AUTO_SMD.pdf","SMD Auto X7R Flex, Ceramic, 1 uF, 10%, 200 VDC, 500 VDC, 125C, -55C, X7R, SMD, MLCC, FT-CAP, Automotive Grade, 2.5 % , 1 GOhms, 230 mg, 2220, 5.9mm, 5mm, 1.5mm, 0.7mm, 1000, 78  Weeks, 80","","KEMET","C2220X105K2RACAUTO","80-C2220X105K2RAUTO","https://www.mouser.co.uk/ProductDetail/KEMET/C2220X105K2RACAUTO?qs=1mbolxNpo8fmZ3mUaC%2FFGQ%3D%3D"
"5","1","F1","TPS25961DRVR","TPS25961DRVR:TPS25961DRVR","fp:SON65P200X200X80-7N","https://www.ti.com/lit/ds/symlink/tps25961.pdf","Hot Swap Voltage Controllers 2.7-V to 19-V 100-mO eFuse with overvoltage, overcurrent and short-circuit protection","0.8","Texas Instruments","TPS25961DRVR","595-TPS25961DRVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS25961DRVR?qs=rQFj71Wb1eWBtbDOIdq5wQ%3D%3D"
"6","2","J1, J2","3.3V","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","","","","","",""
"7","2","R1, R3","2M","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"8","1","R2","23.2k","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"9","1","R4","787k","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"10","1","R5","1.21M","2023-02-18_05-38-06:RC0603FR-072ML","fp:RC0603FR-072ML","","","","","","",""
"11","1","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
